Pays_Ou_Entites,Total_cas_confirmés,Total_deces,Superficie_(En_Km2),Population_Mi-2019,Taux_De_Natalite_(Pour_1_000_Habitants),Taux_De_Mortalite_(Pour_1_000_Habitants),Projection_De_La_Population_En_2050,Taux_De_Mortalite_Infantile_(Pour_1_000_Naissances),Indice_Synthetique_De_Fecondite_(Enfants_Par_Femme),Proportion_De_Moins_De_15_Ans_(En_%),Population_de_moins_de_15_ans,Proportion_De_65_Ans_Ou_Plus_(En_%),Population_de_65_ans_ou_plus,Esperance_De_Vie_A_La_Naissance_Hommes_Femmes_(En_Annees),Revenu_National_Brut_P.P.A._Par_Hab._En_2018_(En_Dollars_Us),Lat,Long,Total_cas_remission,Fatality_Rate,value,labels
Maroc,4151260,78190,109068000,8906000000.0,4636,1220,11224000000,4636.0,585.5999999999973,65.88000000000031,24046200.0,17.080000000000048,623420000.0000001,18300.0,2052040.0,7757.174799999986,-1730.5943999999913,3067541,1.883524520266136,1,-1
Maurice,59153,1721,488000,317200000.0,2440,2196,292800000,2684.0,341.59999999999934,41.480000000000246,539240.0000000001,29.280000000000065,38064000.0,17568.0,6351320.0,-4965.010576,14042.725088000041,51345,2.9094044258110325,1,-1
Mauritanie,604440,15600,250344000,1098000000.0,8052,1708,2196000000,12688.0,1098.0,97.6000000000003,4392000.0,7.320000000000016,32940000.0,15372.0,1015040.0,5125.927599999989,-2669.5551999999984,438389,2.5809013301568395,1,-1
Mexique,46491871,5126971,477752000,31134400000.0,4148,1464,37820000000,3172.0,512.4000000000023,63.43999999999985,80949440.0,17.080000000000048,2179408000.0,17568.0,4743360.0,5766.818000000013,-25022.88320000008,36967220,11.027671912795249,3,-1
Moldavie,3086319,92363,8296000,976000000.0,2440,2928,829600000,732.0,317.20000000000147,39.03999999999987,1561600.0,29.280000000000065,117120000.0,16592.0,1873920.0,11568.430399999987,6922.255599999977,2011791,2.992658892356882,1,-1
Monaco,20394,589,244,9760000.0,2440,2440,12200000,243756.0,463.59999999999803,31.719999999999924,12688.0,243756.0,243756.0,243756.0,243756.0,10670.925199999978,1809.6747999999982,15179,2.888104344415024,1,-1
Mongolie,33885,0,381616000,780800000.0,5612,1464,1073600000,4148.0,707.5999999999968,75.64000000000026,2420480.0,9.759999999999968,31232000.0,16104.0,2981680.0,11434.449999999972,25338.594799999853,25535,0.0,1,-1
Montenegro,345372,6361,3416000,146400000.0,2928,2684,146400000,488.0,414.79999999999825,43.919999999999945,263520.0,36.59999999999983,21960000.0,18056.0,4819000.0,10420.91743200004,4727.351159999989,218945,1.8417821942716839,1,-1
Mozambique,262982,1660,195688000,7417600000.0,9028,1952,15860000000,12444.0,1171.1999999999946,107.35999999999966,32637440.0,7.320000000000016,222528000.0,14152.0,317200.0,-4554.430799999992,8669.222399999973,120357,0.6312219087237909,1,-1
Myanmar (Birmanie),100293,1520,165188000,13176000000.0,4148,1952,15128000000,9028.0,512.4000000000023,63.43999999999985,34257600.0,14.640000000000033,790560000.0,15616.0,243756.0,5347.552799999987,23413.263999999894,41475,1.515559410925987,1,-1
Namibie,369565,3276,201056000,610000000.0,6832,1952,976000000,7564.0,805.1999999999972,90.28000000000013,2257000.0,9.759999999999968,24400000.0,14884.0,2664480.0,-5601.654399999996,4511.657600000004,171950,0.8864475802632825,1,-1
Nepal,2722726,12466,35868000,6978400000.0,4880,1464,8540000000,6344.0,463.59999999999803,73.19999999999966,20935200.0,14.640000000000033,418704000.0,16836.0,753960.0,6872.6747999999925,20557.0,1652353,0.4578499636026541,1,-1
Nicaragua,382132,12350,31720000,1586000000.0,4880,1220,2196000000,3904.0,585.5999999999973,73.19999999999966,4758000.0,12.200000000000038,79300000.0,17324.0,1315160.0,3139.1615040000147,-20790.563875999935,247030,3.2318675222174535,1,-1
Niger,167601,9812,309148000,5685200000.0,11224,1952,16104000000,10736.0,1659.199999999993,122.0,28426000.0,7.320000000000016,170556000.0,14884.0,251320.0,4296.300516000008,1971.926504000007,139408,5.854380343792698,2,-1
Nigeria,4501163,95442,225456000,49044000000.0,9028,2928,97844000000,14396.0,1293.1999999999941,107.35999999999966,215793600.0,7.320000000000016,1471320000.0,13176.0,1390800.0,2216.0080000000094,2116.773200000011,2708719,2.1203853315243193,1,-1
Norvege,1606633,40312,93940000,1317600000.0,2684,1952,1708000000,488.0,414.79999999999825,41.480000000000246,2239920.0000000005,41.480000000000246,223992000.0,19520.0,16199160.0,14755.167999999963,2066.411600000007,1065547,2.5090982196929854,1,-1
Nouvelle-Zelande,270529,3456,66124000,1171200000.0,2928,1708,1464000000,976.0,463.59999999999803,48.80000000000015,2342400.0,39.03999999999987,187392000.0,19764.0,9821000.0,-9979.746400000025,42672.18399999982,238351,1.2774970520720514,1,-1
Oman,7309754,47003,75640000,1220000000.0,4636,488,1708000000,1708.0,683.1999999999987,53.67999999999983,2684000.0,4.879999999999984,24400000.0,18544.0,10060120.0,5249.070251999999,13645.274219999954,5762827,0.643017535200227,1,-1
Ouganda,211270,1518,58804000,10809200000.0,9028,1464,21716000000,10736.0,1171.1999999999946,114.67999999999978,50803240.0,4.879999999999984,216184000.0,14884.0,480680.0,335.09325200000046,7878.827100000026,123053,0.7185118568656221,1,-1
Ouzbekistan,2813442,18619,109068000,8052000000.0,5124,1464,10492000000,4880.0,585.5999999999973,70.75999999999999,23350800.0,12.200000000000038,402600000.0,17080.0,1764120.0,10096.107803999994,15758.803928000038,2274057,0.6617872342845524,1,-1
Pakistan,29202388,612991,194224000,52850400000.0,6832,1708,82472000000,14640.0,854.0,85.39999999999984,184976400.0,9.759999999999968,2114016000.0,16104.0,1424960.0,7411.573199999975,16920.20440000007,22240486,2.099112579423299,1,-1
Palestine (Territoires),1419283,9603,1464000,1220000000.0,7076,732,2196000000,4148.0,878.4000000000036,95.16000000000012,4758000.0,7.320000000000016,36600000.0,17568.0,243756.0,7796.336799999976,8596.900799999972,800335,0.6766092456543198,1,-1
Panama,7233958,156770,18544000,1024800000.0,4636,1220,1464000000,3416.0,585.5999999999973,65.88000000000031,2766960.0,19.519999999999936,81984000.0,18300.0,5736440.0,2083.272000000002,-19710.832400000065,4599836,2.167140035925008,1,-1
Papouasie-Nouvelle-Guinee,21150,227,112972000,2147200000.0,6588,1708,3416000000,9760.0,854.0,85.39999999999984,7515200.0,9.759999999999968,85888000.0,15372.0,1012600.0,-1540.8582919999938,35125.154199999866,9561,1.0732860520094563,1,-1
Paraguay,1053054,17085,99308000,1708000000.0,4880,1464,2196000000,4636.0,585.5999999999973,70.75999999999999,4953200.0,17.080000000000048,119560000.00000001,17568.0,3215920.0,-5719.970000000021,-14260.287199999908,570832,1.6224239212803901,1,-1
Pays-Bas,9149577,971367,10248000,4172400000.0,2440,2196,4148000000,488.0,341.59999999999934,39.03999999999987,6675840.0,48.80000000000015,834480000.0,19764.0,14000720.0,12720.35440000006,1291.0772000000018,73923,10.616523583549272,3,-1
Perou,52184232,2122267,313540000,7930000000.0,4392,1464,9760000000,2928.0,536.7999999999987,61.0,19825000.0,19.519999999999936,634400000.0,18056.0,3369640.0,-2242.36000000001,-18303.70880000001,34681293,4.06687407031304,1,-1
Philippines,13659456,290870,73200000,26376400000.0,4880,1464,35136000000,4636.0,610.0,73.19999999999966,79129200.0,12.200000000000038,1318820000.0,16348.0,2615680.0,3142.651923999985,29712.86014799995,8044522,2.1294405867993573,1,-1
Pologne,6234192,228828,76372000,9247600000.0,2440,2440,8052000000,2928.0,341.59999999999934,36.59999999999983,13871400.0,43.919999999999945,1664568000.0,18300.0,7590840.0,12668.333600000049,4671.4044000000085,4034043,3.6705318026778775,1,-1
Portugal,7065114,247693,22448000,2488800000.0,1952,2684,2196000000,732.0,317.20000000000147,31.719999999999924,3235440.0,53.67999999999983,547536000.0,19276.0,8100800.0,9613.57560000004,-2006.7780000000057,4099662,3.5058599195993154,1,-1
Qatar,12929976,17965,2684000,683200000.0,2196,244,951600000,1464.0,439.2000000000018,34.160000000000096,956480.0000000001,4.879999999999984,13664000.0,19276.0,30287720.0,6186.571200000013,12488.8716,11050149,0.13894070646380163,1,-1
Roumanie,6851489,327587,58072000,4733600000.0,2440,3172,3904000000,1464.0,390.4000000000012,39.03999999999987,7573760.0,46.35999999999992,899384000.0,17812.0,6329360.0,11210.140799999961,6091.899200000021,3583591,4.78125265909352,1,-1
Royaume-Uni,45582390,6114676,59292000,16470000000.0,2684,2196,18056000000,976.0,414.79999999999825,43.919999999999945,29646000.0,46.35999999999992,3129300000.0,19520.0,11141040.0,13512.25639999998,-838.3840000000022,220146,13.414557683350962,3,-1
Russie,99270602,1543146,4171912000,35599600000.0,2928,3172,33184000000,1220.0,439.2000000000018,43.919999999999945,64079280.0,36.59999999999983,5339940000.0,16348.0,6458680.0,15011.85843999992,25697.776464000082,68369584,1.5544843779631758,1,-1
Rwanda,257338,934,6344000,3074400000.0,7564,1220,5612000000,6588.0,976.0,97.6000000000003,12297600.0,7.320000000000016,92232000.0,16348.0,539240.0,-473.43319999999795,7289.231599999963,142572,0.3629467859391151,1,-1
Sahara occidental,1461,119,64904000,146400000.0,4880,1220,244000000,6588.0,585.5999999999973,65.88000000000031,395280.0,7.320000000000016,4392000.0,16836.0,243756.0,5908.582000000002,-3144.135200000004,1096,8.145106091718002,2,-1
Saint-Marin,114706,7438,14640,7320000.0,1708,1708,7320000,976.0,317.20000000000147,243756.0,243756.0,243756.0,243756.0,20008.0,243756.0,10721.945599999981,3039.703200000004,78731,6.4844036057398915,2,-1
Sainte Lucie,3682,0,122000,43920000.0,2928,1708,43920000,2928.0,341.59999999999934,43.919999999999945,79056.0,24.400000000000077,4392000.0,18300.0,2774280.0,3393.893600000001,-14878.851600000015,3251,0.0,1,-1
Salvador,1771035,48095,5124000,1586000000.0,4392,1708,1708000000,3416.0,488.0,65.88000000000031,4282200.0,19.519999999999936,126880000.0,16592.0,1915400.0,3365.7847999999876,-21690.745999999996,991081,2.7156436772847514,1,-1
Sao Tome-et-Principe,96750,1789,244000,53680000.0,7564,1220,95160000,6100.0,1049.1999999999953,102.48000000000035,225456.0,7.320000000000016,1610400.0,16592.0,836920.0,45.48159999999987,1613.5964000000042,62480,1.8490956072351423,1,-1
Senegal,1178867,21904,48068000,3977200000.0,8296,1464,8052000000,7564.0,1122.4000000000017,104.92000000000061,17101960.0,7.320000000000016,119316000.0,16104.0,895480.0,3537.365600000018,-3526.3856000000064,775914,1.8580552343903087,1,-1
Serbie,3060020,67062,18788000,2147200000.0,2196,3172,1708000000,1220.0,341.59999999999934,39.03999999999987,3435520.0,46.35999999999992,407968000.0,17812.0,3747840.0,10740.025999999965,5125.4396000000215,735730,2.1915543035666434,1,-1
Seychelles,11312,0,122000,24400000.0,3904,1952,24400000,2684.0,585.5999999999973,58.56000000000013,58560.0,19.519999999999936,1952000.0,17080.0,7093080.0,-1141.8224000000032,13540.048000000037,7874,0.0,1,-1
Sierra Leone,207268,8087,17568000,1903200000.0,8052,2928,3172000000,18788.0,1024.8000000000045,100.03999999999945,7803120.0,7.320000000000016,57096000.0,13176.0,370880.0,2064.375420000014,-2874.292915999988,144400,3.9017117934268675,1,-1
Singapour,6631176,3953,170800,1415200000.0,2196,1220,1464000000,488.0,292.79999999999865,29.280000000000065,1698240.0,29.280000000000065,169824000.0,20008.0,23058000.0,313.1251999999994,25335.325199999887,5345932,0.059612352318804386,1,-1
Slovaquie,388524,4564,11956000,1342000000.0,2440,2440,1220000000,1220.0,366.0,39.03999999999987,2147200.0,39.03999999999987,214720000.0,18056.0,8198400.0,11875.235999999975,4806.555999999996,254199,1.17470220629871,1,-1
Slovenie,346048,18637,4880000,512400000.0,2196,2440,463600000,488.0,390.4000000000012,36.59999999999983,768600.0,48.80000000000015,102480000.0,19276.0,9284200.0,11260.892800000029,3658.9019999999987,236065,5.385669040133161,2,-1
Somalie,391140,12334,155672000,3757600000.0,10248,2684,8540000000,16348.0,1464.0,112.23999999999945,17284960.0,7.320000000000016,112728000.0,13664.0,243756.0,1257.1243560000016,11272.70630399998,188386,3.153346627805901,1,-1
Soudan,1298479,80461,454084000,10443200000.0,7808,1708,19764000000,10004.0,1049.1999999999953,97.6000000000003,41772800.0,9.759999999999968,417728000.0,15372.0,1078480.0,3138.523199999998,7373.094399999988,603786,6.196557664775479,2,-1
Sri Lanka,335263,1760,16104000,5197200000.0,3904,1708,5368000000,1708.0,536.7999999999987,58.56000000000013,12473280.0,26.839999999999915,571692000.0,18056.0,3193960.0,1921.0251759999921,19708.318468000005,264561,0.5249610007665624,1,-1
St Kitts-et-Nevis,2726,0,63440,12200000.0,3416,2196,14640000,4148.0,439.2000000000018,51.24000000000017,25620.0,243756.0,243756.0,17812.0,7349280.0,4235.308567999988,-15319.05151200005,2231,0.0,1,-1
St Vincent-et-les-Grenadines,6078,0,95160,26840000.0,3416,2196,26840000,3416.0,463.59999999999803,53.67999999999983,59048.0,24.400000000000077,2684000.0,17080.0,3223240.0,3168.169200000011,-14954.076800000064,5062,0.0,1,-1
Sud-Soudan,259002,4662,157136000,2708400000.0,8540,2440,4880000000,15372.0,1122.4000000000017,102.48000000000035,11375280.0,7.320000000000016,81252000.0,13664.0,243756.0,1677.9879999999926,7638.907999999963,92831,1.7999861004934326,1,-1
Suede,9601879,810403,109800000,2440000000.0,2928,2196,2684000000,488.0,439.2000000000018,43.919999999999945,4392000.0,48.80000000000015,488000000.0,19764.0,13173560.0,14671.271284000039,4549.014243999992,0,8.440045953505559,2,-1
Suisse,5995641,320091,10004000,2098400000.0,2440,1952,2440000000,732.0,366.0,36.59999999999983,3147600.0,46.35999999999992,398696000.0,20008.0,16889680.0,11423.640799999961,2007.5099999999939,4921983,5.33872858631796,2,-1
Surinam,224888,4119,40016000,146400000.0,4392,1708,170800000,4148.0,585.5999999999973,65.88000000000031,395280.0,17.080000000000048,10248000.000000002,16592.0,3274480.0,956.3092000000033,-13670.783199999969,166694,1.8315783856853187,1,-1
Swaziland,293957,5174,4148000,268400000.0,6344,2196,414800000,9516.0,732.0,92.71999999999984,1019920.0,9.759999999999968,10736000.0,13664.0,2605920.0,-6471.490000000008,7677.679600000024,192512,1.7601213782968257,1,-1
Syrie,148347,6435,45140000,4172400000.0,5612,1220,8052000000,3416.0,683.1999999999987,75.64000000000026,12934440.0,12.200000000000038,208620000.0,16592.0,243756.0,8491.71239999999,9515.219200000009,38548,4.337802584480981,1,-1
Tadjikistan,850361,7645,34892000,2269200000.0,7320,1220,3904000000,6832.0,878.4000000000036,90.28000000000013,8396040.0,7.320000000000016,68076000.0,16836.0,985760.0,9482.08400000001,17391.368399999894,663244,0.8990299414013577,1,-1
Taiwan,82856,1232,8784000,5807200000.0,1952,1952,5368000000,976.0,292.79999999999865,31.719999999999924,7549360.0,36.59999999999983,871080000.0,19032.0,243756.0,5782.799999999975,29524.0,67886,1.4869170609249784,1,-1
Tanzanie,77831,3161,230580000,14152000000.0,8784,1464,31476000000,9516.0,1171.1999999999946,107.35999999999966,62268800.0,7.320000000000016,424560000.0,15616.0,771040.0,-1554.0428320000035,8512.872567999986,26977,4.061363723966029,1,-1
Tchad,120455,9848,313296000,3879600000.0,10248,2928,8296000000,17568.0,1366.3999999999974,114.67999999999978,18234120.0,4.879999999999984,77592000.0,12932.0,468480.0,3770.8248000000085,4570.656799999997,97474,8.175667261632976,2,-1
Tcheque (Republique),2584059,56934,19276000,2610800000.0,2440,2684,2684000000,488.0,414.79999999999825,39.03999999999987,4177280.0,48.80000000000015,522160000.0,18788.0,9240280.0,12155.469999999952,3775.411999999991,1594086,2.203277866333547,1,-1
Thailande,557021,9540,125172000,16982400000.0,2440,1952,16104000000,1708.0,366.0,41.480000000000246,28870080.0,29.280000000000065,2037888000.0,17812.0,4431040.0,3872.2878079999814,24642.180003999925,493180,1.7126822866642373,1,-1
Timor-Est,3937,0,3660000,317200000.0,7076,1464,488000000,8540.0,951.5999999999963,90.28000000000013,1173640.0,9.759999999999968,12688000.0,16348.0,1705560.0,-2165.3047999999976,30677.510000000155,3489,0.0,1,-1
Togo,119616,2904,13908000,1976400000.0,8052,1952,3660000000,11712.0,1049.1999999999953,100.03999999999945,8103240.0,7.320000000000016,59292000.0,14640.0,429440.0,2103.1580000000017,201.25120000000075,80894,2.42776886035313,1,-1
Trinite-et-Tobago,97127,2318,1220000,341600000.0,3172,2196,317200000,5124.0,414.79999999999825,48.80000000000015,683200.0,26.839999999999915,37576000.0,17324.0,7822640.0,2608.7992000000113,-14938.289999999972,38085,2.386566042398097,1,-1
Tunisie,344518,9622,40016000,2854800000.0,4148,1464,3416000000,2928.0,536.7999999999987,58.56000000000013,6851520.0,21.959999999999972,256932000.0,18300.0,2942640.0,8268.407747999967,2327.1497560000053,174266,2.792887454356521,1,-1
Turquie,32616098,820739,191296000,20349600000.0,3904,1220,23668000000,1952.0,512.4000000000023,58.56000000000013,48839040.0,21.959999999999972,1831464000.0,18300.0,6924720.0,9507.142800000023,8599.365200000018,26736722,2.5163617058055197,1,-1
Ukraine,9664744,224012,147376000,10736000000.0,2196,3660,8540000000,1708.0,341.59999999999934,39.03999999999987,17177600.0,41.480000000000246,1825120000.0000002,16348.0,2200880.0,11804.573599999962,7604.40640000002,4547819,2.3178265249446857,1,-1
Uruguay,181468,4767,42700000,854000000.0,3416,2196,878400000,1952.0,488.0,48.80000000000015,1708000.0,36.59999999999983,128100000.0,18056.0,5343600.0,-7935.563199999979,-13606.855199999936,145631,2.6269094275574756,1,-1
Venezuela,2729546,23215,222528000,6954000000.0,4392,1708,9028000000,6344.0,561.2000000000008,65.88000000000031,18775800.000000004,19.519999999999936,556320000.0,16592.0,243756.0,1567.4072000000058,-16247.88680000008,1903551,0.8505077401150227,1,-1
Viet Nam,92952,1373,81008000,23546000000.0,3904,1464,26840000000,3904.0,512.4000000000023,56.11999999999973,54155800.0,19.519999999999936,1883680000.0,17324.0,1715320.0,3430.2310560000137,26419.636556000023,68103,1.47710646355108,1,-1
Yemen,173715,48329,128832000,7124800000.0,7320,1464,11712000000,10492.0,902.8000000000037,95.16000000000012,27786720.0,7.320000000000016,213744000.0,15616.0,627080.0,3794.865387999975,11837.998672,83523,27.82085599976974,3,-1
Zambie,721797,17339,183732000,4367600000.0,8784,1464,9516000000,10736.0,1122.4000000000017,107.35999999999966,19217440.0,4.879999999999984,87352000.0,14884.0,1000400.0,-3204.6708680000106,6795.237007999962,608001,2.402198956216221,1,-1
Zimbabwe,379534,9790,95404000,3562400000.0,7320,1952,5856000000,9028.0,854.0,102.48000000000035,14962080.0,7.320000000000016,106872000.0,14640.0,243756.0,-4639.766871999996,7113.7851080000455,228384,2.5794790453556207,1,-1
